fdc_id,name,data_type,protein,fat,carbs,kcal,alcohol,caffeine,fiber,sodium,sugar_added,cholesterol,fat_trans,fat_sat,fat_mono,fat_poly,sugar,density
172760,"Muffins, English, raisin-cinnamon, toasted (includes apple-cinnamon)",sr_legacy_food,8.87,2.21,55.04,276.0,0.0,0.0,3.0,342.0,,0.0,0.0,0.579,1.065,0.469,13.34,
172761,"Muffins, English, wheat",sr_legacy_food,8.7,2.0,44.8,223.0,0.0,0.0,4.6,353.0,,0.0,,0.287,0.28,0.834,1.56,
172762,"Muffins, English, whole-wheat",sr_legacy_food,8.8,2.1,40.4,203.0,0.0,0.0,6.7,364.0,,0.0,,0.334,0.513,0.835,8.09,
172763,"French toast, frozen, ready-to-heat",sr_legacy_food,7.4,6.1,32.1,213.0,0.0,,1.1,495.0,,82.0,,1.533,2.04,1.227,,
172764,"Muffins, plain, prepared from recipe, made with low fat (2%) milk",sr_legacy_food,6.9,11.4,41.4,296.0,,,2.7,467.0,,39.0,,2.156,2.757,5.721,,
172765,"Muffins, blueberry, commercially prepared (Includes mini-muffins)",sr_legacy_food,4.49,16.07,53.0,375.0,0.0,0.0,1.1,336.0,,30.0,0.2,2.844,4.822,8.103,31.47,
172766,"Muffins, blueberry, dry mix",sr_legacy_food,3.48,3.25,61.0,293.0,,,1.4,479.0,,0.0,0.227,1.161,0.696,1.307,32.73,
172767,"Muffins, blueberry, toaster-type",sr_legacy_food,4.6,9.5,53.3,313.0,0.0,0.0,1.8,417.0,,6.0,,1.398,2.162,5.351,4.85,
172768,"Muffins, blueberry, prepared from recipe, made with low fat (2%) milk",sr_legacy_food,6.5,10.8,40.7,285.0,,,,441.0,,37.0,,2.03,2.596,5.388,,
172769,"Muffins, oat bran",sr_legacy_food,7.0,7.4,48.3,270.0,0.0,0.0,4.6,393.0,,0.0,,1.087,1.695,4.129,8.22,
172770,"Muffins, wheat bran, dry mix",sr_legacy_food,7.1,12.0,73.0,396.0,,,,700.0,,0.0,,2.939,6.403,1.904,,
172771,"Pancakes plain, frozen, ready-to-heat (includes buttermilk)",sr_legacy_food,5.23,6.83,37.75,233.0,0.0,0.0,1.0,461.0,,18.0,0.03,1.162,1.554,3.831,8.32,
